time,open,high,low,close,Basis,Upper,Lower,Volume,Trailing Stop,Trailing Stop AMA,Plot,Plot,Plot,Zero line,RSI Cloud Lead,RSI Cloud Base,RSI Overbought ,Signal RSI Overbought,RSI Oversold,Signal RSI Oversold,Baseline,Cloud Flip Bullish,Cloud Flip Bearish,RSI,ADX Current Timeframe,ADX Different Timeframe
2024-10-23,233.31316459358544,233.82802843,226.48535261,230.63798184,226.1961386288329,235.976365829816,216.4159114278498,52286979,235.7667978210889,235.7041947921043,66.44345491573058,70.80316149201293,2.5358235005460017,0,59.77793633389648,58.330993047055,70,80,30,20,50,,,55.7278601424214,23.204989488747827,23.722779229643063
2024-10-24,231.97557321679272,231.97557321679272,227.13171492,228.6581243725,226.4541863500829,236.07075189664207,216.83762080352372,31109503,235.7667978210889,235.71741288000646,51.78107684297359,64.46246660899982,2.21224070166474,0,52.11415156248354,57.45467674768574,70,80,30,20,50,,57.45467674768574,51.75862080178551,22.724184729345115,23.204989488747827
2024-10-25,230.31684879464638,231.914796,228.28522304,229.6923040625,226.71861482741622,236.24006204760042,217.19716760723202,38802304,235.7667978210889,235.72131232756917,45.56902211230073,58.16465177676679,2.016009359274392,0,50.59485146069561,56.94298990549621,70,80,30,20,50,,,53.61702543126428,22.27772316704259,22.724184729345115
2024-10-28,230.0045764285732,233.41634536,230.0045764285732,232.1932289925,227.29868356508288,235.9207302814091,218.67663684875666,36087134,235.7667978210889,235.7292429801124,51.42811961451975,55.91914105601777,2.03879637193981,0,54.67871767535398,57.06340731734138,70,80,30,20,50,,,57.84612049433495,22.244056509369003,22.27772316704259
2024-10-29,231.0989027105366,233.01361192,231.0198328,232.04779747249998,227.87440178708292,235.2982093327824,220.45059424138344,35417247,235.7667978210889,235.7350393957041,54.79788098326276,55.54538769843276,2.021813923037314,0,56.346306562565516,57.12397940610046,70,80,30,20,50,,,57.517697983034466,22.21279461295781,22.244056509369003
2024-10-30,231.5733500915183,232.16339689,228.26533497,230.1372996525,228.26586531799956,234.8383409607835,221.6933896752156,47070907,235.7667978210889,235.73777155946192,49.99910071010253,53.69662536898935,1.833063586569125,0,52.441271004379146,56.6062865077943,70,80,30,20,50,,,53.241282668804295,21.143312638349805,22.21279461295781
2024-10-31,230.85532487200913,230.85532487200913,224.10872813,226.33867809000003,228.28359884791624,234.8322654399569,221.73493225587558,64370086,235.7667978210889,235.74786965852098,39.84405784256972,49.07910286018281,1.3612687129935637,0,43.81946871438259,55.182693691858354,70,80,30,20,50,,,45.92934038827472,20.362344982127603,21.143312638349805
2024-11-01,228.59700148100458,228.59700148100458,219.03727002,221.12924649250002,228.04009427849957,235.07354713689347,221.00664142010567,65276741,235.7667978210889,235.7589603614895,30.959256959239365,43.039154226535,0.5605486280498155,0,34.13371199590006,52.916252298658314,70,80,30,20,50,,,38.18438324285803,20.766866805467107,20.362344982127603
2024-11-04,224.8631239867523,224.8631239867523,218.48040403,220.136085945,227.84477684791622,235.40052435996333,220.28902933586912,44944468,235.7667978210889,235.76380700789204,24.235461624644746,36.771256692571576,-0.15241066882123278,0,28.51328284219121,50.781635987441454,70,80,30,20,50,,,36.90662996453189,21.25030620720483,20.766866805467107
2024-11-05,222.49960496587613,222.69667509,219.90240111,221.3380712375,227.67274503366622,235.57049346212725,219.7749966052052,28111338,235.7667978210889,235.76515356964495,22.534582059545397,32.02569848156285,-0.6133752721666781,0,28.880345189978872,49.283202246722226,70,80,30,20,50,,,39.543382932047216,21.699214223104146,21.25030620720483
2024-11-06,221.91883810168807,224.7998386,219.95212129,221.89742323500002,227.58967090366622,235.67403274224756,219.50530906508487,54561121,235.7667978210889,235.76576080458648,22.648997902718367,28.90013162194802,-0.9229191721704524,0,30.57892381033672,48.14992222270055,70,80,30,20,50,,,40.7836020665597,21.368696206925932,21.699214223104146
2024-11-07,221.90813066834403,226.59970902,221.90813066834403,224.8719328525,227.55503251333292,235.6766846522773,219.43338037438855,42137691,235.7667978210889,235.76576080458648,29.36364618509988,29.054636476331975,-0.9176389058523853,0,38.53647116058136,47.99780687253986,70,80,30,20,50,,,47.00905709649537,20.47395649577307,21.368696206925932
2024-11-08,223.390031760422,227.63048171,223.390031760422,226.2753606,227.53121078616624,235.6635375483253,219.39888402400717,38328824,235.7667978210889,235.76576080458648,37.45425919711671,31.854510716593552,-0.7910901714054432,0,45.286418662111494,48.224258121957526,70,80,30,20,50,,,49.69619124317234,19.320075605702815,20.47395649577307
2024-11-11,224.832696180211,224.832696180211,220.50271888,223.09847887749999,227.2969148948329,235.52104886340433,219.07278092626146,42005602,235.7667978210889,235.76590661487,36.21966388746801,33.30956177355171,-0.9363534921218672,0,43.07273498616311,47.69151786154719,70,80,30,20,50,,,44.228706168879995,19.00986095548571,19.320075605702815
2024-11-12,223.9655875288555,224.57430407,222.34936693,223.4207712225,227.21067263866627,235.5406426518364,218.88070262549613,40398299,235.7667978210889,235.7660389308364,37.45391409139278,34.6910125461654,-1.0137831604082805,0,42.6990240201103,47.318129535085916,70,80,30,20,50,,,44.89110541308763,18.721804494569824,19.00986095548571
2024-11-13,223.69317937567774,225.62953153,221.75704586,223.6236038625,227.1814088495829,235.5552956659623,218.80752203320353,48566217,235.7667978210889,235.76613048151162,41.91568469752431,37.099236596618375,-1.0467139644457006,0,43.02772765385451,47.05320226760781,70,80,30,20,50,,,45.331175029000136,18.084068858668267,18.721804494569824
2024-11-14,223.6583916190889,227.83953621,223.6583916190889,225.75645747500002,227.24084941066624,235.54785048098773,218.93384834034475,44923941,235.7667978210889,235.76617661470127,53.85806370417378,42.68551229913684,-0.8904439191536824,0,48.28648409555406,47.42808800733543,70,80,30,20,50,47.42808800733543,,49.864845315564985,16.816650899790524,18.084068858668267
